"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"9532";"0271266E";"ECOLE ELEMENTAIRE PUBLIQUE MAXIME MARCHAND";"VERNON";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";0;9;161
"9575";"0271409K";"ECOLE MATERNELLE PUBLIQUE -";"EZY-SUR-EURE";"NORMANDIE";"Petites villes";"PUBLIC";0;5;117
"9595";"0271472D";"ECOLE PRIMAIRE PUBLIQUE LES DOMINOS";"VAL-DE-REUIL";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";1;17;262
"9678";"0271740V";"ECOLE MATERNELLE PUBLIQUE JACQUES RUEFF";"BERVILLE-SUR-MER";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;2;41
"9719";"0280060N";"ECOLE ELEMENTAIRE PUBLIQUE REPUBLIQUE";"CHATEAUDUN";"ORLEANS-TOURS";"Petites villes";"PUBLIC";0;3;66
"9735";"0280091X";"ECOLE PRIMAIRE THIVILLE";"THIVILLE";"ORLEANS-TOURS";"Rural à habitat dispersé";"PUBLIC";0;1;16
"9774";"0280183X";"ECOLE PRIMAIRE FRETIGNY";"SAINTIGNY";"ORLEANS-TOURS";"Rural à habitat très dispersé";"PUBLIC";0;3;51
"9789";"0280238G";"ECOLE ELEMENTAIRE PUBLIQUE JULES FERRY";"LUCE";"ORLEANS-TOURS";"Grands centres urbains";"PUBLIC";0;11;232
"9846";"0280383P";"ECOLE ELEMENTAIRE PUBLIQUE EMILE ZOLA";"AUNEAU-BLEURY-SAINT-SYMPHORIEN";"ORLEANS-TOURS";"Bourgs ruraux";"PUBLIC";0;5;121
"9847";"0280384R";"ECOLE MATERNELLE PUBLIQUE FRANCINE COURSAGET";"AUNEAU-BLEURY-SAINT-SYMPHORIEN";"ORLEANS-TOURS";"Bourgs ruraux";"PUBLIC";0;7;175
"9869";"0280495L";"ECOLE PRIMAIRE PUBLIQUE -";"DANGERS";"ORLEANS-TOURS";"Rural à habitat dispersé";"PUBLIC";0;6;128
"9870";"0280497N";"ECOLE PRIMAIRE PUBLIQUE FONTAINE LA GUYON";"FONTAINE-LA-GUYON";"ORLEANS-TOURS";"Bourgs ruraux";"PUBLIC";0;8;183
"9920";"0280608J";"ECOLE ELEMENTAIRE PUBLIQUE -";"YMERAY";"ORLEANS-TOURS";"Bourgs ruraux";"PUBLIC";0;3;58
"9973";"0280853A";"ECOLE ELEMENTAIRE PUBLIQUE LA MARTINERIE";"AMILLY";"ORLEANS-TOURS";"Bourgs ruraux";"PUBLIC";0;5;104
